Nombre científico;Presentación
Mustelus canis;Entero
Mustelus canis;Eviscerado
Mustelus norrisi;Filete
Mustelus norrisi;Tronco
Mustelus norrisi;Carne
Mustelus norrisi;Aleta
Mustelus norrisi;Descabezado
Mustelus norrisi;Entero
Mustelus norrisi;Eviscerado
Carcharhinus altimus;Filete
Carcharhinus altimus;Tronco
Carcharhinus altimus;Carne
Carcharhinus altimus;Aleta
Carcharhinus altimus;Descabezado
Carcharhinus altimus;Entero
Carcharhinus altimus;Eviscerado
Urobatis jamaicensis;Carne
Urobatis jamaicensis;Entero
Urobatis jamaicensis;Entero enhielado
Urobatis jamaicensis;Entero fresco
Rhinoptera brasiliensis;Carne
Rhinoptera brasiliensis;Entero
Rhinoptera brasiliensis;Entero enhielado
Rhinoptera brasiliensis;Entero fresco
Pseudobatos percellens;Carne
Pseudobatos percellens;Entero
Pseudobatos percellens;Entero enhielado
Pseudobatos percellens;Entero fresco
Narcine brasiliensis;Carne
Narcine brasiliensis;Entero
Narcine brasiliensis;Entero enhielado
Narcine brasiliensis;Entero fresco
Mobula birostris;Carne
Mobula birostris;Entero
Mobula birostris;Entero enhielado
Mobula birostris;Entero fresco
Styracura schmardae;Carne
Styracura schmardae;Entero
Styracura schmardae;Entero enhielado
Styracura schmardae;Entero fresco
Diplobatis pictus;Carne
Diplobatis pictus;Entero
Diplobatis pictus;Entero enhielado
Diplobatis pictus;Entero fresco
Hypanus spp.;Carne
Hypanus spp.;Entero
Hypanus spp.;Entero enhielado
Hypanus spp.;Entero fresco
Hypanus americanus;Carne
Hypanus americanus;Entero
Hypanus americanus;Entero enhielado
Hypanus americanus;Entero fresco
Mobula spp.;Carne
Mobula spp.;Entero
Mobula spp.;Entero enhielado
Mobula spp.;Entero fresco
Urotrygon spp.;Carne
Urotrygon spp.;Entero
Urotrygon spp.;Entero enhielado
Urotrygon spp.;Entero fresco
Zapteryx xyster;Carne
Zapteryx xyster;Entero
Zapteryx xyster;Entero enhielado
Zapteryx xyster;Entero fresco
Rhinoptera steindachneri;Carne
Rhinoptera steindachneri;Entero
Rhinoptera steindachneri;Entero enhielado
Rhinoptera steindachneri;Entero fresco
Aetobatus narinari;Carne
Aetobatus narinari;Entero
Aetobatus narinari;Entero enhielado
Aetobatus narinari;Entero fresco
Hypanus longus;Carne
Hypanus longus;Entero
Hypanus longus;Entero enhielado
Hypanus longus;Entero fresco
Hypanus dipterurus;Carne
Hypanus dipterurus;Entero
Hypanus dipterurus;Entero enhielado
Hypanus dipterurus;Entero fresco
Zapteryx exasperata;Carne
Zapteryx exasperata;Entero
Zapteryx exasperata;Entero enhielado
Zapteryx exasperata;Entero fresco
Pseudobatos prahli;Carne
Pseudobatos prahli;Entero
Pseudobatos prahli;Entero enhielado
Pseudobatos prahli;Entero fresco
Pseudobatos leucorhynchus;Carne
Pseudobatos leucorhynchus;Entero
Pseudobatos leucorhynchus;Entero enhielado
Pseudobatos leucorhynchus;Entero fresco
Squatina dumeril;Filete
Squatina dumeril;Tronco
Squatina dumeril;Carne
Squatina dumeril;Aleta
Squatina dumeril;Descabezado
Squatina dumeril;Entero
Squatina dumeril;Eviscerado
Squalus cubensis;Filete
Squalus cubensis;Tronco
Squalus cubensis;Carne
Squalus cubensis;Aleta
Squalus cubensis;Descabezado
Squalus cubensis;Entero
Squalus cubensis;Eviscerado
Sphyrna tudes;Filete
Sphyrna tudes;Tronco
Sphyrna tudes;Carne
Sphyrna tudes;Aleta
Sphyrna tudes;Descabezado
Sphyrna tudes;Entero
Sphyrna tudes;Eviscerado
Sphyrna tiburo;Filete
Sphyrna tiburo;Tronco
Sphyrna tiburo;Carne
Sphyrna tiburo;Aleta
Sphyrna tiburo;Descabezado
Sphyrna tiburo;Entero
Sphyrna tiburo;Eviscerado
Sphyrna mokarran;Filete
Sphyrna mokarran;Tronco
Sphyrna mokarran;Carne
Sphyrna mokarran;Aleta
Sphyrna mokarran;Descabezado
Sphyrna mokarran;Entero
Sphyrna mokarran;Eviscerado
Rhizoprionodon porosus;Filete
Rhizoprionodon porosus;Tronco
Rhizoprionodon porosus;Carne
Rhizoprionodon porosus;Aleta
Rhizoprionodon porosus;Descabezado
Rhizoprionodon porosus;Entero
Rhizoprionodon porosus;Eviscerado
Negaprion brevirostris;Filete
Negaprion brevirostris;Tronco
Negaprion brevirostris;Carne
Negaprion brevirostris;Aleta
Negaprion brevirostris;Descabezado
Negaprion brevirostris;Entero
Negaprion brevirostris;Eviscerado
Isurus oxyrinchus;Filete
Isurus oxyrinchus;Tronco
Isurus oxyrinchus;Carne
Isurus oxyrinchus;Aleta
Isurus oxyrinchus;Descabezado
Isurus oxyrinchus;Entero
Isurus oxyrinchus;Eviscerado
Ginglymostoma cirratum;Filete
Ginglymostoma cirratum;Tronco
Ginglymostoma cirratum;Carne
Ginglymostoma cirratum;Aleta
Ginglymostoma cirratum;Descabezado
Ginglymostoma cirratum;Entero
Ginglymostoma cirratum;Eviscerado
Carcharias taurus;Filete
Carcharias taurus;Tronco
Carcharias taurus;Carne
Carcharias taurus;Aleta
Carcharias taurus;Descabezado
Carcharias taurus;Entero
Carcharias taurus;Eviscerado
Carcharhinus porosus;Filete
Carcharhinus porosus;Tronco
Carcharhinus porosus;Carne
Carcharhinus porosus;Aleta
Carcharhinus porosus;Descabezado
Carcharhinus porosus;Entero
Carcharhinus porosus;Eviscerado
Carcharhinus plumbeus;Filete
Carcharhinus plumbeus;Tronco
Carcharhinus plumbeus;Carne
Carcharhinus plumbeus;Aleta
Carcharhinus plumbeus;Descabezado
Carcharhinus plumbeus;Entero
Carcharhinus plumbeus;Eviscerado
Carcharhinus perezi;Filete
Carcharhinus perezi;Tronco
Carcharhinus perezi;Carne
Carcharhinus perezi;Aleta
Carcharhinus perezi;Descabezado
Carcharhinus perezi;Entero
Carcharhinus perezi;Eviscerado
Carcharhinus longimanus;Filete
Carcharhinus longimanus;Tronco
Carcharhinus longimanus;Carne
Carcharhinus longimanus;Aleta
Carcharhinus longimanus;Descabezado
Carcharhinus longimanus;Entero
Carcharhinus longimanus;Eviscerado
Carcharhinus limbatus;Filete
Carcharhinus limbatus;Tronco
Carcharhinus limbatus;Carne
Carcharhinus limbatus;Aleta
Carcharhinus limbatus;Descabezado
Carcharhinus limbatus;Entero
Carcharhinus limbatus;Eviscerado
Carcharhinus falciformis;Filete
Carcharhinus falciformis;Tronco
Carcharhinus falciformis;Carne
Carcharhinus falciformis;Aleta
Carcharhinus falciformis;Descabezado
Carcharhinus falciformis;Entero
Carcharhinus falciformis;Eviscerado
Carcharhinus acronotus;Filete
Carcharhinus acronotus;Tronco
Carcharhinus acronotus;Carne
Carcharhinus acronotus;Aleta
Carcharhinus acronotus;Descabezado
Carcharhinus acronotus;Entero
Carcharhinus acronotus;Eviscerado
Mustelus henlei;Filete
Mustelus henlei;Tronco
Mustelus henlei;Carne
Mustelus henlei;Aleta
Mustelus henlei;Descabezado
Mustelus henlei;Entero
Mustelus henlei;Eviscerado
Mustelus lunulatus;Filete
Mustelus lunulatus;Tronco
Mustelus lunulatus;Carne
Mustelus lunulatus;Aleta
Mustelus lunulatus;Descabezado
Mustelus lunulatus;Entero
Mustelus lunulatus;Eviscerado
Alopias superciliosus;Filete
Alopias superciliosus;Tronco
Alopias superciliosus;Carne
Alopias superciliosus;Aleta
Alopias superciliosus;Descabezado
Alopias superciliosus;Entero
Alopias superciliosus;Eviscerado
Alopias pelagicus;Filete
Alopias pelagicus;Tronco
Alopias pelagicus;Carne
Alopias pelagicus;Aleta
Alopias pelagicus;Descabezado
Alopias pelagicus;Entero
Alopias pelagicus;Eviscerado
Carcharhinus leucas;Filete
Carcharhinus leucas;Tronco
Carcharhinus leucas;Carne
Carcharhinus leucas;Aleta
Carcharhinus leucas;Descabezado
Carcharhinus leucas;Entero
Carcharhinus leucas;Eviscerado
Galeocerdo cuvier;Filete
Galeocerdo cuvier;Tronco
Galeocerdo cuvier;Carne
Galeocerdo cuvier;Aleta
Galeocerdo cuvier;Descabezado
Galeocerdo cuvier;Entero
Galeocerdo cuvier;Eviscerado
Prionace glauca;Filete
Prionace glauca;Tronco
Prionace glauca;Carne
Prionace glauca;Aleta
Prionace glauca;Descabezado
Prionace glauca;Entero
Prionace glauca;Eviscerado
Crassostrea rhizophorae;Entero
Crassostrea rhizophorae;Concha
Crassostrea rhizophorae;Entero enhielado
Crassostrea rhizophorae;Entero fresco
Anomalocardia brasiliana, Donax spp.;Entero
Anomalocardia brasiliana, Donax spp.;Concha
Anomalocardia brasiliana, Donax spp.;Entero enhielado
Anomalocardia brasiliana, Donax spp.;Entero fresco
Anadara similis;Entero
Anadara similis;Concha
Anadara similis;Entero enhielado
Anadara similis;Entero fresco
Anadara tuberculosa;Entero
Anadara tuberculosa;Concha
Anadara tuberculosa;Entero enhielado
Anadara tuberculosa;Entero fresco
Anadara spp.;Entero
Anadara spp.;Concha
Anadara spp.;Entero enhielado
Anadara spp.;Entero fresco
Xiphopenaeus kroyeri;Entero
Xiphopenaeus kroyeri;Colas
Xiphopenaeus kroyeri;Entero enhielado
Xiphopenaeus kroyeri;Entero fresco
Xiphopenaeus kroyeri;Cola enhielada
Scyllarides aequinoctialis;Carne
Scyllarides aequinoctialis;Entero
Scyllarides aequinoctialis;Colas
Scyllarides aequinoctialis;Entero enhielado
Scyllarides aequinoctialis;Entero fresco
Scyllarides aequinoctialis;Cola enhielada
Penaeus schmitti;Entero
Penaeus schmitti;Colas
Penaeus schmitti;Entero enhielado
Penaeus schmitti;Entero fresco
Penaeus schmitti;Cola enhielada
Penaeus notialis;Entero
Penaeus notialis;Colas
Penaeus notialis;Entero enhielado
Penaeus notialis;Entero fresco
Penaeus notialis;Cola enhielada
Panulirus laevicauda;Carne
Panulirus laevicauda;Entero
Panulirus laevicauda;Colas
Panulirus laevicauda;Entero enhielado
Panulirus laevicauda;Entero fresco
Panulirus laevicauda;Cola enhielada
Panulirus guttatus;Carne
Panulirus guttatus;Entero
Panulirus guttatus;Colas
Panulirus guttatus;Entero enhielado
Panulirus guttatus;Entero fresco
